Params: 0-univ-count= 32 , 1-n= 5
Tactic call exact-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call abstract-regression-quadratic ran for 0.003 secs (0.003u,0.s) (success)
Tactic call close-abstract-regression-quadratic ran for 0.002 secs (0.002u,0.s)
Params: 0-univ-count= 64 , 1-n= 6
Tactic call exact-regression-linear ran for 0.002 secs (0.002u,0.s) (success)
Tactic call abstract-regression-quadratic ran for 0.006 secs (0.006u,0.s) (success)
Tactic call close-abstract-regression-quadratic ran for 0.004 secs (0.004u,0.s)
Params: 0-univ-count= 128 , 1-n= 7
Tactic call exact-regression-linear ran for 0.004 secs (0.003u,0.s) (success)
Tactic call abstract-regression-quadratic ran for 0.051 secs (0.048u,0.002s) (success)
Tactic call close-abstract-regression-quadratic ran for 0.047 secs (0.045u,0.002s)
Params: 0-univ-count= 256 , 1-n= 8
Tactic call exact-regression-linear ran for 0.006 secs (0.006u,0.s) (success)
Tactic call abstract-regression-quadratic ran for 0.027 secs (0.026u,0.s) (success)
Tactic call close-abstract-regression-quadratic ran for 0.02 secs (0.019u,0.s)
Params: 0-univ-count= 512 , 1-n= 9
Tactic call exact-regression-linear ran for 0.013 secs (0.013u,0.s) (success)
Tactic call abstract-regression-quadratic ran for 0.073 secs (0.073u,0.s) (success)
Tactic call close-abstract-regression-quadratic ran for 0.059 secs (0.059u,0.s)
Params: 0-univ-count= 1024 , 1-n= 10
Tactic call exact-regression-linear ran for 0.028 secs (0.028u,0.s) (success)
Tactic call abstract-regression-quadratic ran for 0.171 secs (0.171u,0.s) (success)
Tactic call close-abstract-regression-quadratic ran for 0.143 secs (0.142u,0.s)
Params: 0-univ-count= 2048 , 1-n= 11
Tactic call exact-regression-linear ran for 0.073 secs (0.073u,0.s) (success)
Tactic call abstract-regression-quadratic ran for 0.552 secs (0.55u,0.001s) (success)
Tactic call close-abstract-regression-quadratic ran for 0.478 secs (0.476u,0.001s)
Params: 0-univ-count= 4096 , 1-n= 12
Tactic call exact-regression-linear ran for 0.159 secs (0.159u,0.s) (success)
Tactic call abstract-regression-quadratic ran for 1.597 secs (1.593u,0.003s) (success)
Tactic call close-abstract-regression-quadratic ran for 1.438 secs (1.433u,0.004s)
Params: 0-univ-count= 8192 , 1-n= 13
Tactic call exact-regression-linear ran for 0.301 secs (0.295u,0.005s) (success)
Tactic call abstract-regression-quadratic ran for 5.24 secs (5.231u,0.007s) (success)
Tactic call close-abstract-regression-quadratic ran for 4.938 secs (4.935u,0.001s)
Params: 0-univ-count= 16384 , 1-n= 14
Tactic call exact-regression-linear ran for 0.604 secs (0.603u,0.s) (success)
Tactic call abstract-regression-quadratic ran for 19.547 secs (19.524u,0.021s) (success)
Tactic call close-abstract-regression-quadratic ran for 18.943 secs (18.92u,0.02s)
